Inference for Stan model: anon_model_41af6b195d0a37a4a461f78cd03c2699.
4 chains, each with iter=6000; warmup=1000; thin=5; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                       mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
Rt[124]                0.35  2.0e-3   0.12   0.13   0.27   0.35   0.43   0.62   3959    1.0
Rt[125]                0.24  1.9e-3   0.12   0.05   0.16   0.23   0.32    0.5   3864    1.0
Rt[126]                0.15  1.5e-3   0.09   0.02   0.08   0.14   0.21   0.38   3860    1.0
Rt[127]                0.12  1.3e-3   0.08   0.02   0.07   0.11   0.17   0.32   4012    1.0
Rt[128]                0.13  1.4e-3   0.08   0.02   0.07   0.11   0.17   0.33   3666    1.0
Rt[129]                0.15  1.5e-3    0.1   0.02   0.08   0.13    0.2   0.38   3995    1.0
Rt[130]                 0.2  2.0e-3   0.12   0.03   0.11   0.17   0.27   0.49   3853    1.0
Rt[131]                0.28  2.7e-3   0.17   0.03   0.15   0.25   0.37   0.69   3937    1.0
Rt[132]                0.41  4.2e-3   0.25   0.06   0.22   0.36   0.54   1.03   3756    1.0
Rt[133]                0.63  6.2e-3   0.38   0.09   0.34   0.56   0.83   1.56   3774    1.0
Rt[134]                1.03    0.01   0.61   0.18   0.58   0.91   1.37   2.48   3697    1.0
Rt[135]                1.94    0.02   1.15   0.36   1.11   1.72   2.54   4.73   4030    1.0
Rt[136]                3.39    0.03   1.89   0.68   1.99    3.1   4.43   7.77   3672    1.0
Rt[137]                3.85    0.04   2.19   0.72   2.21   3.51   5.03   9.07   3533    1.0
s_smooth             1.4e-3  1.4e-6 7.4e-5 1.3e-3 1.4e-3 1.4e-3 1.5e-3 1.6e-3   2884    1.0
domestic_infect[1]     0.39  5.5e-3   0.35   0.03   0.14   0.28   0.52   1.35   4081    1.0
domestic_infect[2]      0.7  9.4e-3    0.6   0.07   0.29   0.55   0.93   2.27   4022    1.0
domestic_infect[3]     0.89    0.01   0.69    0.1    0.4   0.72   1.18   2.69   3736    1.0
domestic_infect[4]      1.0    0.01   0.73   0.12   0.47   0.82   1.35   2.85   4081    1.0
domestic_infect[5]      1.1    0.01   0.81   0.11   0.51   0.92   1.47   3.21   4041    1.0
domestic_infect[6]     1.16    0.01   0.84   0.14   0.54   0.97   1.56   3.23   4027    1.0
domestic_infect[7]      1.2    0.01   0.85   0.15   0.57   1.01    1.6   3.35   3844    1.0
domestic_infect[8]     1.22    0.01   0.87   0.14   0.58   1.02   1.67   3.31   3887    1.0
domestic_infect[9]     1.24    0.01    0.9   0.15   0.58   1.03   1.69   3.45   4013    1.0
domestic_infect[10]    1.26    0.01   0.89   0.16   0.61   1.05   1.71   3.46   3841    1.0
domestic_infect[11]    1.26    0.01    0.9   0.16    0.6   1.06   1.69   3.55   4251    1.0
domestic_infect[12]    1.31    0.02   0.93   0.16   0.61    1.1   1.76   3.68   3843    1.0
domestic_infect[13]    1.32    0.02   0.96   0.16   0.63   1.09   1.75   3.93   3974    1.0
domestic_infect[14]    1.35    0.02   0.97   0.16   0.64   1.12   1.81   3.84   4033    1.0
domestic_infect[15]    1.41    0.02   1.01   0.15   0.66   1.17    1.9   3.97   3820    1.0
domestic_infect[16]    1.44    0.02   1.02   0.18    0.7    1.2   1.94    4.0   3805    1.0
domestic_infect[17]    1.51    0.02   1.07   0.18   0.73   1.25   2.03   4.23   3705    1.0
domestic_infect[18]    1.57    0.02   1.12   0.19   0.75   1.29   2.12   4.43   3914    1.0
domestic_infect[19]    1.56    0.02   1.12    0.2   0.74   1.29   2.12   4.41   3969    1.0
domestic_infect[20]    1.55    0.02   1.11   0.19   0.73    1.3    2.1   4.33   4332    1.0
domestic_infect[21]    1.71    0.02   1.19   0.19   0.83   1.48   2.26   4.74   3963    1.0
domestic_infect[22]    1.92    0.02   1.37   0.22   0.92   1.64   2.57   5.33   4156    1.0
domestic_infect[23]    2.16    0.03   1.53   0.26   1.02   1.82   2.94   5.81   3350    1.0
domestic_infect[24]    2.34    0.02   1.63   0.29   1.14   1.96   3.16   6.43   4257    1.0
domestic_infect[25]    2.22    0.02   1.56   0.26   1.08   1.86   2.99   6.07   4212    1.0
domestic_infect[26]    2.07    0.02   1.45   0.25   0.98   1.74   2.78   5.69   3816    1.0
domestic_infect[27]    2.12    0.02   1.48   0.27   1.05   1.78   2.81   5.78   3958    1.0
domestic_infect[28]    2.04    0.02   1.43   0.22   0.99    1.7   2.77   5.75   3942    1.0
domestic_infect[29]    1.96    0.02   1.42   0.23   0.93   1.63   2.63   5.56   4047    1.0
domestic_infect[30]    2.01    0.02    1.4   0.25   0.97   1.69   2.71   5.59   3864    1.0
domestic_infect[31]    2.14    0.03   1.54   0.25   1.01   1.77   2.87   6.03   3770    1.0
domestic_infect[32]    2.38    0.03   1.65   0.31   1.19   2.02   3.13   6.67   3828    1.0
domestic_infect[33]    2.66    0.03   1.94   0.32   1.24   2.17   3.62   7.52   4352    1.0
domestic_infect[34]    3.29    0.04   2.36    0.4   1.53   2.75    4.4   9.12   4228    1.0
domestic_infect[35]    4.36    0.05   3.05   0.53   2.07   3.68   5.91  12.23   4204    1.0
domestic_infect[36]    6.54    0.07   4.23    0.8    3.3   5.76   9.01  16.48   3755    1.0
domestic_infect[37]    8.34    0.09   4.94    1.1   4.45   7.69  11.45  19.42   3272    1.0
domestic_infect[38]    7.73    0.07   4.79   1.05   4.03   6.91  10.65  19.15   4152    1.0
domestic_infect[39]    5.18    0.06   3.48   0.68   2.56   4.43   7.05  13.76   3695    1.0
domestic_infect[40]    4.21    0.05    2.8   0.56   2.12   3.56   5.72  11.04   3867    1.0
domestic_infect[41]    4.31    0.04   2.75    0.6   2.25   3.78   5.82   11.2   4006    1.0
domestic_infect[42]    4.59    0.05   3.03   0.67   2.31   3.96   6.12  12.36   3953    1.0
domestic_infect[43]     4.9    0.05   3.11    0.7   2.58   4.26   6.63   12.7   4049    1.0
domestic_infect[44]    5.97    0.06   3.79   0.86   3.17   5.22   7.94  15.34   3973    1.0
domestic_infect[45]    7.21    0.07   4.47   1.13   3.82   6.39   9.74  18.24   3975    1.0
domestic_infect[46]    8.15    0.08   5.06   1.14   4.29   7.23  11.03   20.2   3865    1.0
domestic_infect[47]    8.82    0.09    5.5   1.18   4.55   7.89   12.0  21.85   3967    1.0
domestic_infect[48]   12.47    0.11   6.91   1.86   7.28  11.74  16.63  27.94   3665    1.0
domestic_infect[49]   14.04    0.12   7.38   2.49   8.33  13.37  18.84  29.92   3590    1.0
domestic_infect[50]   14.96    0.13   8.09   2.14   8.65  14.29  20.32  32.47   3876    1.0
